,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON,ZIP_CODE
113,100100811,04/16/2010 12:00:00 AM,04/16/2010 12:00:00 AM,510,1,Central,154,1,110,CRIMINAL HOMICIDE,1100,41,M,B,102.0,SIDEWALK,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,,,,500 S  LOS ANGELES                  ST,,34.0461,-118.2476,90014
404,100101605,11/15/2010 12:00:00 AM,11/14/2010 12:00:00 AM,1245,1,Central,157,1,110,CRIMINAL HOMICIDE,0416 1218,48,M,O,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,110.0,,,,500    CROCKER                      ST,,34.0435,-118.2427,90013
524,100104269,01/05/2010 12:00:00 AM,01/05/2010 12:00:00 AM,1030,1,Central,138,1,110,CRIMINAL HOMICIDE,0411,74,F,A,203.0,OTHER BUSINESS,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,110.0,,,,400 E  4TH                          ST,,34.0458,-118.243,90013
2488,100110330,05/05/2010 12:00:00 AM,01/15/2010 12:00:00 AM,1200,1,Central,134,1,110,CRIMINAL HOMICIDE,0400 0411,65,M,W,102.0,SIDEWALK,207.0,OTHER KNIFE,IC,Invest Cont,110.0,,,,300 S  HILL                         ST,,34.0517,-118.2491,90079
3459,100112967,06/24/2010 12:00:00 AM,06/24/2010 12:00:00 AM,2000,1,Central,166,1,110,CRIMINAL HOMICIDE,0416 0429 1218,62,M,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,110.0,,,,7TH                          ST,SAN JULIAN,34.0407,-118.2468,90014
3908,100114135,07/19/2010 12:00:00 AM,07/19/2010 12:00:00 AM,30,1,Central,155,1,110,CRIMINAL HOMICIDE,1100,35,M,B,101.0,STREET,102.0,HAND GUN,AO,Adult Other,110.0,,,,MAPLE                        AV,6TH                          ST,34.0439,-118.2479,90014
4572,100116102,08/25/2010 12:00:00 AM,08/25/2010 12:00:00 AM,1645,1,Central,166,1,110,CRIMINAL HOMICIDE,0416,38,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,110.0,,,,7TH                          ST,SAN JULIAN,34.0407,-118.2468,90014
6590,100121447,12/12/2010 12:00:00 AM,12/12/2010 12:00:00 AM,1150,1,Central,185,1,110,CRIMINAL HOMICIDE,,40,F,W,,,,,AA,Adult Arrest,110.0,,,,200 W  OLYMPIC                      BL,,34.0409,-118.2574,90014
7017,100200692,08/16/2010 12:00:00 AM,08/15/2010 12:00:00 AM,1155,2,Rampart,216,1,110,CRIMINAL HOMICIDE,0430 1100 1402,32,M,H,101.0,STREET,101.0,REVOLVER,IC,Invest Cont,110.0,998.0,,,SUNSET                       BL,ROSEMONT,34.0779,-118.266,90026
8118,100206715,01/25/2010 12:00:00 AM,01/25/2010 12:00:00 AM,900,2,Rampart,257,1,110,CRIMINAL HOMICIDE,0416 0429 1206 1817,26,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,110.0,,,,WITMER                       ST,WILSHIRE                     BL,34.0538,-118.2667,90017
8496,100207577,03/06/2010 12:00:00 AM,03/06/2010 12:00:00 AM,200,2,Rampart,266,1,110,CRIMINAL HOMICIDE,0430 0906 1100,21,M,B,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,110.0,,,,800 S  UNION                        AV,,34.0523,-118.2722,90057
8682,100208053,03/14/2010 12:00:00 AM,03/13/2010 12:00:00 AM,2248,2,Rampart,289,1,110,CRIMINAL HOMICIDE,0334 0430 0913 1100 1402,29,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,1500 W  12TH                         PL,,34.0447,-118.2747,90015
8865,100208506,03/21/2010 12:00:00 AM,03/21/2010 12:00:00 AM,1838,2,Rampart,265,1,110,CRIMINAL HOMICIDE,0430 0432 0906 1100 1407,33,M,H,218.0,BEAUTY/BARBER SHOP,101.0,REVOLVER,IC,Invest Cont,110.0,998.0,,,700 S  ALVARADO                     ST,,34.0565,-118.2768,90057
9091,100209033,03/30/2010 12:00:00 AM,03/30/2010 12:00:00 AM,2100,2,Rampart,233,1,110,CRIMINAL HOMICIDE,0342 0430 1100,23,M,H,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,110.0,,,,200 S  RAMPART                      BL,,34.0685,-118.2775,90057
9131,100209151,04/01/2010 12:00:00 AM,04/01/2010 12:00:00 AM,710,2,Rampart,251,1,110,CRIMINAL HOMICIDE,1501,0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,110.0,,,,300 S  RAMPART                      BL,,34.0663,-118.2789,90057
10534,100212198,05/29/2010 12:00:00 AM,05/29/2010 12:00:00 AM,210,2,Rampart,218,1,110,CRIMINAL HOMICIDE,0342 0411 0432 1402,34,M,H,102.0,SIDEWALK,207.0,OTHER KNIFE,IC,Invest Cont,110.0,998.0,,,1600 W  SUNSET                       BL,,34.0768,-118.2573,90026
10657,100212490,06/04/2010 12:00:00 AM,06/03/2010 12:00:00 AM,2030,2,Rampart,236,1,110,CRIMINAL HOMICIDE,0334 0411 0419 0432 0444 2000,37,F,H,101.0,STREET,200.0,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,110.0,,,,100 S  MOUNTAIN VIEW                AV,,34.0664,-118.2697,90057
11165,100213646,06/24/2010 12:00:00 AM,06/24/2010 12:00:00 AM,1610,2,Rampart,219,1,110,CRIMINAL HOMICIDE,0321 0342 0344 0430 1100 1402,27,M,W,239.0,MEDICAL MARIJUANA FACILITIES/BUSINESSES,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,1300 W  SUNSET                       BL,,34.071999999999996,-118.2508,90026
11397,100214154,07/05/2010 12:00:00 AM,07/04/2010 12:00:00 AM,2220,2,Rampart,299,1,110,CRIMINAL HOMICIDE,0302 0319 0334 0342 0430 0906 1100 1259 1402,14,F,H,101.0,STREET,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,998.0,,,1300    TOBERMAN                     ST,,34.0442,-118.2758,90015
