Taxable Year,Zip Code,State,City,County,Returns,CA AGI,Total Tax Liability,CountyLatitude,CountyLongitude,Geo County,Geo City,Geo ZipCode
2017,91775,CA,San Gabriel,Los Angeles,11301,896920720,39885616,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.10722900000002 34.099203),
2017,90001,CA,Los Angeles,Los Angeles,21596,633896704,5884996,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.24915400000002 33.973252)
2017,90002,CA,Los Angeles,Los Angeles,19915,576005270,5042436,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.247877 33.949079)
2017,91755,CA,Monterey Park,Los Angeles,15063,636889907,19992841,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.127542 34.062407),POINT (-118.11527900000002 34.048584)
2017,90213,CA,Beverly Hills,Los Angeles,426,63811566,4916474,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.40467899999999 34.080294),POINT (-118.40467899999999 34.080294)
2017,91394,CA,Granada Hills,Los Angeles,250,16941169,666214,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.522202 34.264702),POINT (-118.52000000000001 34.26)
2017,90003,CA,Los Angeles,Los Angeles,27118,748887938,6168251,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.274809 33.963074)
2017,91343,CA,North Hills,Los Angeles,26427,1272808128,35061061,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.46690400000001 34.229584),POINT (-118.481122 34.2389)
2017,90814,CA,Long Beach,Los Angeles,10291,853150536,44304730,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.19372300000002 33.767168),POINT (-118.14323400000002 33.771365)
2017,90004,CA,Los Angeles,Los Angeles,28226,2002117408,122014451,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.30945299999999 34.07646)
2017,90601,CA,Whittier,Los Angeles,15546,956255773,32538708,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.04805100000002 33.967318),POINT (-118.03828399999999 34.006995)
2017,90005,CA,Los Angeles,Los Angeles,16485,873852781,42701187,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.308884 34.059746)
2017,90231,CA,Culver City,Los Angeles,453,26161406,1115483,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.39428700000002 34.0225),POINT (-118.39428700000002 34.0225)
2017,91802,CA,Alhambra,Los Angeles,809,48649418,2732997,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.12684199999998 34.095162),POINT (-118.125624 34.09321)
2017,91330,CA,Northridge,Los Angeles,39,1119541,25771,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.535797 34.228298),POINT (-118.527162 34.241569)
2017,90706,CA,Bellflower,Los Angeles,35461,1613256526,36953070,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.12525600000001 33.882076),POINT (-118.12792299999998 33.88777)
2017,90501,CA,Torrance,Los Angeles,20463,1231594115,44644385,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.34003800000002 33.836318),POINT (-118.314777 33.830261)
2017,90715,CA,Lakewood,Los Angeles,9918,495370144,12713535,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.13377300000002 33.850448),POINT (-118.07969799999998 33.84090900000001)
2017,90670,CA,Santa Fe Springs,Los Angeles,8172,493648175,17756758,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.085884 33.947201),POINT (-118.066781 33.933818)
2017,90006,CA,Los Angeles,Los Angeles,23054,699204304,12456168,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.293869 34.048637)
