Taxable Year,Zip Code,State,City,County,Returns,CA AGI,Total Tax Liability,CountyLatitude,CountyLongitude,Geo County,Geo City,Geo ZipCode
2017,90079,CA,Los Angeles,Los Angeles,31,1771958,91694,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.25540300000002 34.040531)
2017,90072,CA,Los Angeles,Los Angeles,32,1267601,39703,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.24368499999999 34.052234)
2017,90055,CA,Los Angeles,Los Angeles,39,36305301,4237108,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2017,90095,CA,Los Angeles,Los Angeles,39,7506980,569336,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.442809 34.070475)
2017,90074,CA,Los Angeles,Los Angeles,51,2245056,79345,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2017,90073,CA,Los Angeles,Los Angeles,52,2605039,106689,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.45164600000001 34.059249)
2017,90070,CA,Los Angeles,Los Angeles,62,2507183,53889,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2017,90087,CA,Los Angeles,Los Angeles,66,2697373,44478,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2017,90091,CA,Los Angeles,Los Angeles,71,3737681,97693,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.15 33.99)
2017,90082,CA,Los Angeles,Los Angeles,82,2812355,65229,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2017,90030,CA,Los Angeles,Los Angeles,88,3918694,80939,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2017,90060,CA,Los Angeles,Los Angeles,90,3932747,98348,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
2017,90054,CA,Los Angeles,Los Angeles,95,5318120,315146,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.243344 34.052238)
